"ID"	"Product Code"	"Product Name"	"Standard Cost"	"List Price"	"Reorder Level"	"Target Level"	"Quantity Per Unit"	"Discontinued"	"Minimum Reorder Quantity"	"Category"
88	"NWTCFV-88"	"Northwind Traders Pears"	$1.00	$1.30	10	40	"15.25 OZ"	0		"Canned Fruit & Vegetables"
89	"NWTCFV-89"	"Northwind Traders Peaches"	$1.00	$1.50	10	40	"15.25 OZ"	0		"Canned Fruit & Vegetables"
90	"NWTCFV-90"	"Northwind Traders Pineapple"	$1.00	$1.80	10	40	"15.25 OZ"	0		"Canned Fruit & Vegetables"
91	"NWTCFV-91"	"Northwind Traders Cherry Pie Filling"	$1.00	$2.00	10	40	"15.25 OZ"	0		"Canned Fruit & Vegetables"
92	"NWTCFV-92"	"Northwind Traders Green Beans"	$1.00	$1.20	10	40	"14.5 OZ"	0		"Canned Fruit & Vegetables"
93	"NWTCFV-93"	"Northwind Traders Corn"	$1.00	$1.20	10	40	"14.5 OZ"	0		"Canned Fruit & Vegetables"
94	"NWTCFV-94"	"Northwind Traders Peas"	$1.00	$1.50	10	40	"14.5 OZ"	0		"Canned Fruit & Vegetables"
95	"NWTCM-95"	"Northwind Traders Tuna Fish"	$0.50	$2.00	30	50	"5 oz"	0		"Canned Meat"
96	"NWTCM-96"	"Northwind Traders Smoked Salmon"	$2.00	$4.00	30	50	"5 oz"	0		"Canned Meat"
97	"NWTC-82"	"Northwind Traders Hot Cereal"	$3.00	$5.00	50	200		0		"Cereal"
98	"NWTSO-98"	"Northwind Traders Vegetable Soup"	$1.00	$1.89	100	200		0		"Soups"
99	"NWTSO-99"	"Northwind Traders Chicken Soup"	$1.00	$1.95	100	200		0		"Soups"
